iter	Passed	Remaining
855	89333	98517
856	89433	98407
857	89544	98311
858	89644	98201
859	89746	98094
860	89846	97986
861	89956	97888
862	90053	97775
863	90166	97680
864	90264	97569
865	90365	97461
866	90466	97353
867	90565	97242
868	90666	97134
869	90781	97041
870	90884	96936
871	90985	96828
872	91083	96717
873	91186	96612
874	91291	96508
875	91391	96399
876	91494	96293
877	91614	96205
878	91715	96097
879	91830	96004
880	91920	95885
881	92019	95775
882	92130	95678
883	92234	95573
884	92342	95473
885	92459	95381
886	92557	95270
887	92661	95165
888	92755	95050
889	92860	94947
890	92958	94836
891	93075	94744
892	93165	94626
893	93269	94521
894	93370	94413
895	93498	94333
896	93595	94221
897	93713	94130
898	93809	94018
899	93912	93912
900	94012	93804
901	94113	93696
902	94207	93581
903	94321	93487
904	94415	93372
905	94521	93269
906	94618	93157
907	94726	93057
908	94829	92951
909	94943	92856
910	95040	92745
911	95143	92639
912	95240	92527
913	95378	92456
914	95474	92344
915	95569	92231
916	95667	92120
917	95788	92032
918	95886	91922
919	95999	91825
920	96097	91714
921	96200	91609
922	96296	91497
923	96405	91397
924	96525	91307
925	96630	91203
926	96740	91105
927	96848	91004
928	96951	90898
929	97068	90805
930	97178	90706
931	97294	90613
932	97404	90513
933	97515	90415
934	97612	90304
935	97719	90202
936	97819	90094
937	97935	90000
938	98041	89897
939	98149	89796
940	98256	89694
941	98391	89618
942	98489	89507
943	98595	89404
944	98710	89309
945	98831	89220
946	98934	89114
947	99056	89025
948	99156	88917
949	99273	88823
950	99376	88717
951	99484	88616
952	99592	88514
953	99697	88410
954	99797	88302
955	99915	88210
956	100033	88116
957	100154	88027
958	100261	87924
959	100373	87826
960	100479	87723
961	100595	87628
962	100702	87526
963	100822	87434
964	100990	87385
965	101118	87301
966	101219	87193
967	101325	87089
968	101421	86977
969	101526	86873
970	101626	86764
971	101732	86661
972	101835	86554
973	101942	86452
974	102056	86355
975	102154	86245
976	102255	86137
977	102381	86050
978	102491	85950
979	102604	85853
980	102705	85744
981	102821	85649
982	102926	85545
983	103040	85448
984	103140	85339
985	103244	85234
986	103372	85148
987	103485	85051
988	103585	84942
989	103682	84830
990	103786	84725
991	103902	84630
992	104005	84524
993	104121	84428
994	104228	84325
995	104342	84227
996	104451	84126
997	104547	84014
998	104649	83907
999	104780	83824
1000	104915	83743
1001	105087	83692
1002	105226	83614
1003	105357	83530
1004	105466	83428
1005	105601	83347
1006	105713	83248
1007	105836	83156
1008	105972	83076
1009	106095	82985
1010	106216	82893
1011	106334	82797
1012	106464	82712
1013	106602	82633
1014	106715	82533
1015	106866	82464
1016	106999	82380
1017	107135	82298
1018	107271	82216
1019	107409	82136
1020	107514	82031
1021	107631	81934
1022	107723	81819
1023	107839	81722
1024	107941	81614
